ema;institucion;nombre_ema;comuna;region;latitud;longitud;fecha_de_alta
92;FDF;Lontue;Molina;Maule;-35,049722222;-71,248055556;2013-03-08T06:49:11Z
93;FDF;Maule;San Javier;Maule;-35,576666667;-71,678888889;2013-03-08T06:49:12Z
94;FDF;San Rafael;San Rafael;Maule;-35,303611111;-71,475833333;2013-03-08T06:49:12Z
95;FDF;Pencahue;Pencahue;Maule;-35,455833333;-71,772222222;2013-03-08T06:49:11Z
97;FDF;Yerbas Buenas;Yerbas Buenas;Maule;-35,743888889;-71,573055556;2013-03-08T06:49:12Z
98;FDF;Colbún;Colbún;Maule;-35,662222222;-71,453611111;2013-03-08T06:49:11Z
99;FDF;Linares 2;Longaví;Maule;-35,932194000;-71,566833000;2013-03-08T06:49:11Z
100;FDF;Longaví Norte;Longaví;Maule;-36,053611111;-71,683333333;2013-03-08T06:49:11Z
101;FDF;Longaví Sur;Longaví;Maule;-35,953055556;-71,608055556;2013-03-08T06:49:11Z
102;FDF;Parral;Parral;Maule;-36,213333333;-71,737500000;2013-03-08T06:49:11Z
103;FDF;Parral Norte;Retiro;Maule;-36,230277778;-71,732222222;2013-03-08T06:49:12Z
104;FDF;Villa Alegre;San Javier;Maule;-35,696111111;-71,682222222;2013-03-08T06:49:12Z
105;FDF;San Javier;San Javier;Maule;-35,629722222;-71,603888889;2013-03-08T06:49:12Z
106;FDF;Ñiquén;San Ignacio;Biobío;-36,293611111;-71,893611111;2013-03-08T06:49:12Z
107;FDF;Coihueco;Coihueco;Biobío;-36,557222222;-71,817222222;2013-03-08T06:49:11Z
108;FDF;Pinto;Pinto;Biobío;-36,713333333;-71,875555556;2013-03-08T06:49:12Z
109;FDF;Trehualemu Ex - San Ignacio Sur;El Carmen;Biobío;-36,920833333;-71,893333333;2013-03-08T06:49:11Z
110;FDF;San Ignacio;San Ignacio;Biobío;-36,843611111;-72,124722222;2013-03-08T06:49:12Z
